fr,mc,présent_p1,présent_p2,présent_p3,présent_p4,présent_p5,présent_p6,imparfait_p1,imparfait_p2,imparfait_p3,imparfait_p4,imparfait_p5,imparfait_p6,futur_p1,futur_p2,futur_p3,futur_p4,futur_p5,futur_p6,conditionnel_p1,conditionnel_p2,conditionnel_p3,conditionnel_p4,conditionnel_p5,conditionnel_p6,subjonctif_p1,subjonctif_p2,subjonctif_p3,subjonctif_p4,subjonctif_p5,subjonctif_p6,impératif_p1,impératif_p2,impératif_p3,impératif_p4,impératif_p5,impératif_p6
chanter,Cantà,Cantu,Canti,Canta,Cantemu,Cantèi,Cantannu,Cantava,Cantavi,Cantava,Cantavamu,Cantavai,Cantavannu,Canterò,Canterai,Canterà,Canteremu,Canterei,Canterannu,Canteria,Canteresti,Canteria,Canteriamu,Canteresti,Canteriannu,Canti,Canti,Canti,Cantemu,Cantèi,Cantinnu,—,Canta,Canti,Cantemu,Cantèi,—
finir,Finì,Finiscu,Finisci,Finisce,Finemu,Finèi,Finiscannu,Finia,Finii,Finia,Finiamu,Finiai,Finiannu,Finirò,Finirai,Finirà,Finiremu,Finirei,Finirannu,Finiria,Finiresti,Finiria,Finiriamu,Finiresti,Finiriannu,Finisca,Finisci,Finisca,Finemu,Finèi,Finiscannu,—,Finisci,Finisca,Finemu,Finèi,—
