fr,mc,phonetic,cat
béchamel,sauça gianca,,nom
bêche,magayu,,nom
bêcher,magayà,,verbe
bécoter,baijüssà,,verbe
becqueter,becà,,verbe
bedaine,pansa rica,,nom
bedeau,bedô,,nom
bédouin,beduin,,nom
bégayer,bctcgà,,verbe
bégonia,begonia,,nom
bègue,betegaire,,adjectif
béguin,bcghin,,nom
beignet,frcsciœ,,nom
bêler,berà,,verbe
belette,belura,,nom
belge,bclga (pl. bclgi),,adjectif
Belgique,Belgica,,nom
bélier (o vin),areu - bélier (machine),,nom
belladone,beladona,,nom
bellâtre,belu bllstu,,nom
belle-de-jour,bela de giurnu,,nom
belle-de-nuit,bela de nœte,,nom
belligérant,beligerante,,nom
belliqueux,belicusu,,adjectif
belvédère,belvederc,,nom
bénédiction,benediçi un,,nom
bénéfice,bencfiçi,,nom
bénéficier,benefiçià,,verbe
benêt,sm,,adjectif
bénévole,bcnevulu,,adjectif
bénin,benignu,,adjectif
bénir,bencdi,,verbe
bénit,benedetu,,adjectif
eau bénite,aiga benita,,autre
bénitier,benetè,,nom
benjamin,caganciu,,nom
benne,gabiun,,nom
béquille,scrossura,,nom
berceau,bressu,,nom
bercer,bressà,,verbe
béret,berreta,,nom
bergamote,bergamotu,,nom
berge,sbunda,,nom
berger,pastre,,nom
bergerie,pastreria,,nom
bergeronnette,balarina,,nom
berline,berl ina,,nom
berlue,barlügamentu,,nom
berner,ünganà,,verbe
Berthe,Berta,,nom
Bertrand,Bertran,,nom
besace,bersaca,,nom
besicles,belicri,,nom
besogne,facenda,,nom
besogneux,büsügnusu,,adjectif
besoin,büsœgnu,,nom
besson,bessun,,nom
bestial,bestiale,,adjectif
bestialité,bestialità,,nom
bestiole,bestiola,,nom
bétail,bestiame,,nom
bête,s.f,,adjectif
bêtement,bestialamente,,adjectif
bêtise,bestisa,,nom
béton,betun,,nom
beugler,bramà,,verbe
beurre,bürru,,nom
beurrer,bürrà,,verbe
biais,zimbu,,nom
de biais,de sbiaiju,,adjectif
biaiser,zimbà,,verbe
biberon,biberun,,nom
bible,bibia,,nom
bibliothécaire,bibliutecari,,nom
bibliothèque,bibliuteca,,nom
biblique,biblicu,,adjectif
bicarbonate,bicarbunatu,,nom
biceps,purpassu d'u brassu,,nom
biche,çervaneta,,nom
bicorne,bicornu,,nom
bicyclette,biçicleta,,nom
bidon,bidun,,nom
c'est du bidon,sun cufc,,autre
bief,beà,,nom
bien,ben,,adjectif
bienfaisance,beneficença,,nom
bienfaisant,beneficu,,adjectif
bienfait,benefiçi,,nom
bienfaiteur,benefatù,,nom
bienheureux,beatu,,adjectif
bientôt,tostu,,adjectif
bienveillance,benevurença,,nom
bienvenu,benvegnüu,,adjectif
bière (boisson),biera,,nom
bière (cercueil),cascia da mortu,,nom
biffer,rigà,,verbe
bifteck,bistec,,nom
bigame,bigamu,,adjectif
bigamie,bigamia,,nom
bigarade,scirotu,,nom
bigaradier,scirutè,,nom
bigophone,zunzun,,nom
bigorne,bicornu,,nom
bigot,bigotu,,adjectif
bigoterie,bigotaria,,nom
bigue,biga,,nom
bijou,bijù,,nom
bijouterie,bijuteria,,nom
bijoutiers,bijutiè,,nom
bile,bila,,nom
bilieux,bilusu,,adjectif
billard,biyardu,,nom
bille,biya,,nom
billet,biyetu,,nom
billot,biyun,,nom
biner,binà,,verbe
binette,rnagayun,,nom
biographe,biografu,,nom
