fr,mc,phonetic,cat
gentiane,gençiana,,nom
gentil,gentile,,adjectif
gentil,pagan,,nom
gentilhomme,sentilomu,,nom
gentillesse,gentilessa,,nom
génuflexion,genüflessiun,,nom
génuflexion,zenuchina,,nom
géographe,geografu,,nom
géographie,geografta,,nom
géographique,geugraficu,,adjectif
geôliers,serra ferruyu,,nom
géologie,geulugia,,nom
géologue,geolugu,,nom
géomètre,geometru,,nom
géométrie,geumetria,,nom
géométrique,geumetricu,,adjectif
gérance,gerença,,nom
gérant,gerente,,nom
gerbe,garba,,nom
gerbier,garbiera,,nom
gercer,arsürà,,verbe
se gercer,s'arsürà,,verbe
gerçure,arsüra,,nom
gerçure,screpulatüra,,nom
gérer,geri,,verbe
gérer,gesti,,verbe
germain (parent),de meme sang,,adjectif
cousins germains,cugin primi,,autre
germandrée,calamandrina,,nom
germandrée,calandrina,,nom
germe,brutu,,nom
germer,germà,,verbe
germination,germinaçiun,,nom
gésier,perè,,nom
gesse,pesei sarvaighi,,nom
gestation,gestaçiun,,nom
geste,gestu,,nom
geste,gesta,,nom
gesticuler,gesticülà,,verbe
gestion,gestiun,,nom
gestionnaire,gestjunari,,nom
ghetto,ghetu,,nom
gibbosité,giba,,nom
gibecière,bersaca,,nom
giberne,giberna,,nom
gibet,patibulu,,nom
gibet,furca,,nom
pendre au gibet,ümpicà,,autre
gibier,gibiè,,nom
gibier,caciagiun,,nom
gibier de potence,avançu de galera,,autre
giboulée,marsegiada,,nom
gibus,gibüs,,nom
gibus,timpla,,nom
gicler,gisclà,,verbe
gicler,sbrincià,,verbe
gifle,pata; sm. scciafu,,nom
gifler,dà ün scciafu,,verbe
gifler,scciafesà,,verbe
gigantesque,gigantescu,,adjectif
gigot,gigotu,,nom
gigoter,sgambetà,,verbe
gilet,gilecu,,nom
gilet,gilè,,nom
girafe,girafa,,nom
girandole,girandula,,nom
giratoire,giratori,,adjectif
girelle,girela,,nom
girelle,zigurela,,nom
giroflée,barcaru,,nom
giroflée,barcu,,nom
giroflée dentée,barcu marin,,autre
giroflier,garœfanu,,nom
clou de girofle,garœfanetu,,nom
giron,fauda,,nom
girouette,girueta,,nom
gisement,giassimentu,,nom
gitan,zingaru,,nom
gîte (abri),tana,,nom
gîte (inclinaison navire),sbandu,,nom
givre,brina,,nom
glabre,sença barba,,adjectif
glabre,sbarbau,,adjectif
glace (eau congelée / sorbet),glaça,,nom
glace (eau congelée / sorbet),sciürbetu,,nom
glace (eau congelée / sorbet),sciurbetu,,nom
glace (miroir),speyu,,nom
glace (miroir),glaça,,nom
glacer,zerà,,verbe
se glacer,se glaçà,,verbe
glacier (champ de glace),glaçiè,,nom
glacier (marchand de sorbets),sciurbetiè,,nom
gladiateur,gladiatù,,nom
glaïeul,cutelu,,nom
glaïeul sauvage,cutelu de magiu,,autre
glaire,mücusità,,nom
glaise,arzia,,nom
glaive,spada,,nom
gland,glan,,nom
glande,glanda,,nom
glandulaire,grandurusu,,adjectif
glas (sonner le),sunà a mortu,,locution
glissade,sghiada,,nom
glisser,sghià,,verbe
se glisser,s'insinüà,,verbe
global,glubalc,,adjectif
globe,globu,,nom
globuleux,glubüJusu,,adjectif
gloire,gloria,,nom
glorieux,gluriusu,,adjectif
glorieux,magnificu,,adjectif
glorification,glurificaçiun,,nom
glorifier,glurificà,,verbe
se glorifier,se glurificà,,verbe
se glorifier,se vantà,,verbe
glouton (avide),üngurdu,,adjectif
glouton (avide),bufatrüli,,adjectif
glouton (avide),gulifa,,adjectif
glouton (mustélidé),ghiutun,,nom
gloutonnerie,üngurdiçia,,nom
glu,viscu,,nom
gluant,viscusu,,adjectif
gluau,viscada,,nom
gluau,viscà,,nom
glucose,grea,,nom
glycérine,gliçerina,,nom
gnocchi,sm. gnocu,,nom
gober,sciorbe,,verbe
se gober,se ne crede,,verbe
goinfre,gulifà,,nom
goinfre,mangiun,,nom
goinfre,gurusu,,nom
goinfre,üngurdu,,nom
goinfre,sbafun,,nom
goinfrerie,üngurdïçia,,nom
goitre,gavaciu,,nom
golfe,gurfu,,nom
golfe,gorfu,,nom
gomme,guma,,nom
gommer,gumà,,verbe
gommer,sfaçà,,verbe
gond,gangaru,,nom
gondole,gundola,,nom
gondolier,gunduliè,,nom
gonfalon,gunfarun,,nom
gonfler,gunfià,,verbe
se gonfler,se gunfià,,verbe
gorge (cou),gura,,nom
gorge (cou),gargamela,,nom
gorge (canyon),valun strentu,,nom
gorgée,gurà,,nom
gorgée,surçu,,nom
gorgonzola,gurgunzola,,nom
gorille,guriya,,nom
gosier,gargamela,,nom
gosse,fiyu,,nom
gosse,petesun,,nom
gothique,goticu,,nom
goudron,gudrun,,nom
goudron,qitran,,nom
goudronnage,gudrunage,,nom
goudronnage,qitranage,,nom
goudronner,gudrunà,,verbe
goudronner,qitranà,,verbe
gouffre,gufru,,nom
gouge,scarpelu,,nom
goujon (poisson),gobu,,nom
goujon (cheville),caviya,,nom
goulée,surçu sm,,nom
goulot,colu,,nom
goulu,üngurdu,,nom
goulu,gurusu,,nom
goupîlle,gupiya,,nom
goupillon,aspersori,,nom
gourde,baciurla,,nom
quelle gourde,che sücuna,,autre
gourmand,lecu,,adjectif
gourmand,scebencu,,nom
gourmand,sperlecu,,nom
gourmandise,lecunaria,,nom
gourme,panu,,nom
gourmet,palatu fin,,nom
gourmet,buca fina,,nom
gourmette,gurmeta,,nom
gousse,dossa,,nom
gousset,burseta,,nom
goût,güstu,,nom
goûter,tastà,,verbe
goûter,merenda,,nom
goutte (petite quantité),guta,,nom
goutte (petite quantité),stissa,,nom
goutte (maladie),pudagra,,nom
goutte (maladie),guta,,nom
goutteux,pudagru,,adjectif
gouttière,gorga,,nom
gouvernail,timun,,nom
gouvernant,guvernante,,adjectif
gouvernement,guvernu,,nom
gouverner,guvernà,,verbe
gouverner,imperà,,verbe
se gouverner,se guvernà,,verbe
gouverneur,guvcrnatù,,nom
grabat,payassa,,nom
grabuge,garruya,,nom
grâce,graçia,,nom
grâce,garibu,,nom
gracier,graçià,,verbe
gracieuseté,graçiusità,,nom
gracieux,graçiusu,,adjectif
gracieux,faceçiusu,,adjectif
à litre gracieux,gratüitu,,autre
grade (unité de mesure),gradu,,nom
gradin,banchetu,,nom
graduellement,gradüalamente,,adjectif
grain (graines),gran,,nom
grain (coup de vent / averse),bufera,,nom
grain (coup de vent / averse),ventada,,nom
grain (coup de vent / averse),ramà,,nom
graine,grarîa,,nom
grainer,granà,,verbe
graisse,grascia,,nom
odeur de graisse,grasciüme,,autre
graisser,unze,,verbe
grammaire,gramatica,,nom
grammairien,gramaticu,,nom
gramme,grarnu,,nom
grand,grande,,adjectif
grand,gran,,adjectif
grand-duc (oiseau),dügu,,nom
grand-duc (titre),grandüca,,nom
grandeur,grandessa,,nom
grandeur,grandjusità,,nom
grandiose,grandiusu,,adjectif
grandir,grandi,,verbe
se grandir,se grandi,,verbe
grand-mère,maire gran,,nom
grand-mère,maigran,,nom
grand-mère,nœna,,nom
grand-père,paire gran,,nom
grand-père,paigran,,nom
grange,granè,,nom
granitique,graniticu,,adjectif
graphie,grafia,,nom
graphique,graficu,,adjectif
grappe,rapu,,nom
grapiller,grapiyà,,verbe
grapiller,rapügà,,verbe
grapillon,grapiyun,,nom
grappin,grapin,,nom
grappin,rampin,,nom
gras,grassu,,adjectif
gras,untu,,adjectif
gratification,gratificaçiun,,nom
gratifier,gratificà,,verbe
gratin,grastin,,nom
gratiner,gralinà,,verbe
gratiner,grastinà,,verbe
gratitude,gratitüdine,,nom
gratitude,recunuscença,,nom
gratter,gratà,,verbe
se gratter,se gratà,,verbe
gratuit,gratüitu,,adjectif
gratuité,gratüità,,nom
gratuitement,gratis,,adjectif
gratuitement,grati,,adjectif
gravats,zetu,,nom
grave,gravu,,adjectif
graver,gravà,,verbe
gravide,gravia,,adjectif
gravier,grava,,nom
gravier,giafra,,nom
gravière,graviera,,nom
gravir,muntà,,verbe
gravitation,gravitaçiun,,nom
gravité,gravità,,nom
gravure,gravüra,,nom
gré,gradimentu,,nom
gré,vuruntà,,nom
grec,grecu,,adjectif
Grèce,Greçia,,nom
gredin,manegurdu,,nom
gréement,alestimentu,,nom
gréer,alesti,,verbe
greffe,ünsertu,,nom
greffe,archiviu,,nom
greffer,ünsertà,,verbe
greffier,archivista,,nom
grégaire,gregari,,adjectif
grêle,gragnara,,nom
haché par la grêle,ciapüssu,,autre
grèle,rninçu,,adjectif
grêler,gragnurà,,verbe
grelot,cascavelu,,nom
grelot,sunayu,,nom
grelot,campaneta,,nom
grelotter,trentayà,,verbe
grenade (engin explosif),grenada,,nom
grenade (fruit),merengrana,,nom
grenade (fruit),migrana,,nom
grenadier (soldat),grenadiè,,nom
grenadier (arbre),migranè,,nom
grenat,grenà,,adjectif
grener,granà,,verbe
grenier,granè,,nom
grenier,surà mortu,,nom
grenouille,granuya,,nom
grenu,granau,,adjectif
grenu,granelusu,,adjectif
grès,safre,,nom
grès,arenaria,,nom
grève (de gravier),grava,,nom
grève (cessation travail),greva,,nom
grever,gravà,,verbe
grever,cargà,,verbe
gréviste,grevista,,nom
gribouille,pastissaire,,nom
gribouiller,scarabucià,,verbe
griffe (ongle crochu),arpa; sm. arpion,,nom
coup de griffe,grifada,,autre
griffe (signature),signatüra,,nom
griffer,sgrafignà,,verbe
griffon,grifu,,nom
griffon,grifun,,nom
griffonnage,scarabuciada,,nom
griffonner,scarabucià,,verbe
griffure,sgrafignada,,nom
grignon,ressansu,,nom
grignoter,rusiyà,,verbe
grillage (treillis),graiya,,nom
griller,brüsturl,,verbe
grillon,grilu,,nom
grimace,ghigna,,nom
grimacer,ghignà,,verbe
grimper,rampinà,,verbe
grimpereau,scüra ciuche,,nom
grincement,grüsciamentu,,nom
grincer,grüscià,,verbe
grincer des dents,sgrignà,,autre
griotte,griota,,nom
grippe,gripa,,nom
grisâtre,grisastru,,adjectif
griser,ünciucà,,verbe
se griser,s'ünciucà,,verbe
grisonner,grisurà,,verbe
grive,turdu,,nom
grognement,grugnu,,nom
grognement,mugugnu,,nom
grogner,grugnà,,verbe
grogner,brundurà,,verbe
grognon,grugnaire,,adjectif
grognon,bruntulun,,adjectif
groin,grugnu,,nom
gronder,rempruverà,,verbe
grondin,galineta,,nom
gros,grossu,,adjectif
groseille,gruseya,,nom
groseiller,gruseyè,,nom
grossesse,grussessa,,nom
grossesse,ma d'e nœve lüne,,nom
grosseur,grussù,,nom
grossier,grussiè,,adjectif
grossier,grussulan,,adjectif
grossier,materiale,,adjectif
grossier,desgaribau,,adjectif
grossièreté,grussieretà,,nom
grossir,grussi,,verbe
grossir,üngrussà,,verbe
grossir,üngrussi,,verbe
grotesque,grutescu,,adjectif
grotte,grota,,nom
grotte,spelüga,,nom
grotte,caverna,,nom
groupe,cumbrîcula,,nom
grouper,regrupà,,verbe
se grouper,se regrupà,,verbe
grue (appareil levage),grüa,,nom
grue (appareil levage),arganu,,nom
grue (prostituée),grula,,nom
grue (oiseau),grüa,,nom
grumeau,grümu,,nom
grumeler (se),se grümelà,,verbe
grumeleux,grümusu,,adjectif
gruyère,griviera,,nom
gué,gué,,nom
guenille,straça,,nom
guenon,munina,,nom
guêpe,vespa,,nom
guêpier,vespè,,nom
guère,gaire,,adjectif
guère,pagaire,,adjectif
guéridon,gheridun,,nom
guérir,gari,,verbe
guérir,sanà,,verbe
se guérir,se gari,,verbe
guérison,garisun,,nom
guérite,garita,,nom
guerre,gherra,,nom
guerrier,gherriè,,adjectif
guerroyer,gherregià,,verbe
guet,sürveyança,,nom
guêtre,gbeta,,nom
guetter,spià,,verbe
guetteur,spiun,,nom
gueule,buca,,nom
gueuse (corps mort),bouda,,nom
gueux,ciautrun,,nom
gueux,gü,,nom
gueux,straçun,,nom
gui (parasite),viscu,,nom
guichet,spurtelu,,nom
guide (accompagnateur),ghida,,nom
guides (rênes),ghida,,nom
guider,ghidà,,verbe
se guider,se ghidà,,verbe
guidon,ghidun,,nom
guigne (malchance),ghigna,,nom
guigne (malchance),scarugna,,nom
guigne (cerise),griota,,nom
guigner,ghignà,,verbe
guignol,ghignol,,nom
guillotine,ghiyutina,,nom
guillotiner,ghiyutinà,,verbe
guimbarde (instrument de musique),ciampornia,,nom
guimbarde (instrument de musique),fanfornia,,nom
guimbarde (voiture),ciarraban,,nom
guirlande,ghirlanda,,nom
guirlande,festun,,nom
guise (à sa),a so'ghisa,,autre
guitare,ghitarra,,nom
guitariste,ghitarrista,,nom
gymnaste,ginastu,,nom
gymnastique,ginastica,,nom
gypse,gipu,,nom
