fr,mc,phonetic,cat
amonceler,amügià,,verbe
amont,amunte,,nom
amorce (artillerie),capsüla,,nom
amorce (pêche),esca,,nom
amorcer (artillerie / pêche),inescà,,verbe
amorcer (commencer),üntaurà,,verbe
amortir,amurti,,verbe
amortissement,amurtimentu,,nom
amour,amù,,nom
amouracher (s'),s'ünamurà,,verbe
amoureux,amurusu,,adjectif
amoureuse,carignera,,nom
amour-propre,dignità,,nom
amphibie,anfibiu,,adjectif
amphithéâtre,anfiteatru,,nom
amphore,anfurrignera,,nom
ample,grande,,adjectif
amplification,amplificaçiun,,nom
amplifier,amplificà,,verbe
ampoule,ampula,,nom
ampoule épidermique,burfiga sf,,autre
amputation,ampütaçiun,,nom
amusant,amüsante,,adjectif
amusement,amüsamentu,,nom
amuser,amüsà,,verbe
s'amuser,s'amüsà,,verbe
amygdale,amida la,,nom
an,anu,,nom
analogie,analugia,,nom
analogique,analogicu,,adjectif
analogue,analugu,,adjectif
analyse,analisa,,nom
analyser,analisà,,verbe
ananas,ananà,,nom
anarchie,anarchia,,nom
anarchique,anarchicu,,adjectif
anarchiste,anarchista,,nom
anathème,anatema,,nom
anatomie,anatumia,,nom
anatomique,anatomicu,,adjectif
ancêtre,antenatu,,nom
anche,anca,,nom
anchois,anciua,,nom
ancien,ançien,,adjectif
ancien,anticu,,adjectif
ancienneté,ançienetà,,nom
ancrage,ancurage,,nom
ancre,ancura,,nom
ancrer,ancurà,,verbe
s'ancrer,s'ancurà,,verbe
andouille,anduya,,nom
âne,ase,,nom
âne,burricu,,nom
anéantir,aneanti,,verbe
s'anéantir,se necheri,,verbe
anéantissement,ecidi,,nom
anecdote,sturîeta,,nom
anémie,anemia,,nom
anémique,anemicu,,adjectif
anémone,anemuna,,nom
anémone,anemona,,nom
anémone de mer,barbairœra,,nom
ânerie,aseria,,nom
ânerie,asinità,,nom
ânée,soma,,nom
ange,ange ; sf,,nom
angélus,avemaria,,nom
angine,angina,,nom
anglais,anglese,,adjectif
Anglais,Anglesc,,nom
angle (géométrie),angulu,,nom
angle (coin),canru,,nom
Angleterre,Ingleterra,,nom
Angleterre,Angleterra,,nom
angoisse,anguscia,,nom
angoisser,anguscià,,verbe
anguille,anghila,,nom
angulaire,angulare,,adjectif
anguleux,angulusu,,adjectif
animal,animale - animal,,adjectif
animalité,animalità,,nom
animateur,animatù,,adjectif
animation,animaçiun,,nom
animer,animà,,verbe
s'animer,s'animà,,verbe
animosité,animusità,,nom
anis,anise,,nom
anisette,aniseta,,nom
