fr,mc,phonetic,cat
effervescence,efervescença,,nom
effervescent,efervescente,,adjectif
effet (résultat,sm,,autre
effeuiller,desfœyà - s'effeuiller,,verbe
efficace,eficace,,adjectif
efficacement,eficacemente,,adjectif
efficacité,eficacità,,nom
effigie,efigie,,nom
efflanqué,desfiancau,,adjectif
effleurer,aflurà,,verbe
effondré,acasciau,,adjectif
effondrer (s'),prefundà,,verbe
efforcer (s'),tacià,,verbe
effort,sforçu,,nom
effrayer,spaventà,,verbe
s'effrayer,se spaventà,,verbe
effréné,efrenau,,adjectif
effroi,spaventu,,nom
effronté,sfruntau,,adjectif
femme effrontée,ciabala,,nom
effronterie,fruntaria,,nom
effroyable,spaventusu,,adjectif
effusion,efüsiun,,nom
égal,egale,,adjectif
également,egalamente,,adjectif
égaler,egalà - s'égaler,,verbe
égaliser,egalisà,,verbe
égalité,egalità,,nom
égard,cunsideraçiun,,nom
égarer,perde - s'égarer,,verbe
égayer,ralegrà,,verbe
égide,egida,,nom
églantier,gratacü,,nom
église,geija,,nom
églogue,egluga,,nom
égoïsme,eguismu,,nom
égoïste,eguista,,adjectif
égorger,scanà,,verbe
égosiller (s'),se desgusià,,verbe
égosiller (s'),se desganascià,,verbe
égout,egù,,nom
égoutter,scurà,,verbe
s'égoutter,se scurà,,verbe
égouttoir,scura piati,,nom
égratigner,sgrafignà,,verbe
égratignure,sgrafignada,,nom
égrener,desgranà,,verbe
s'égrener,se desgranà,,verbe
Égypte,Egitu - nm,,nom
égyptien,egiçian,,adjectif
eh,e,,salutation
eh bien,e ben,,autre
éhonté,impüdicu,,adjectif
éjaculation,sburrada,,nom
éjaculer,sburrà,,verbe
élaboration,elaburaçiun,,nom
élaborer,elaburà - s'élaborer,,verbe
élagage,capunage - sf,,nom
élaguer,sparà,,verbe
élagueur,sparaire,,nom
élan (mouvement),slançu,,nom
élancement,lançada,,nom
élancer (causer douleurs),lançà - s'élancer (bondir),,verbe
élargir,slargà,,verbe
élargissement,alargamentu,,nom
élasticité,elasticità,,nom
élastique,flesstbile,,adjectif
électeur,eletù,,nom
électif,eletivu,,adjectif
élection,eleçiun,,nom
électoral,eleturale,,adjectif
électricien,letriçien,,nom
électricité,eletriçità,,nom
électrique,eletricu,,adjectif
électrisation,eletrisaçiun,,nom
électriser,eletrisà,,verbe
s'électriser,s'eletrisà,,verbe
électrocuter,eletrucütà,,verbe
électron,eletrun,,nom
électronique,eletronicu - sf,,adjectif
électrophone,eletrofunu,,nom
élédone (poulpe musqué),sm,,nom
élégamment,elegantemente,,adjectif
élégance,elegança - sm,,nom
élégant,elegante,,adjectif
élégiaque,elegiacu,,adjectif
élégie,elegia,,nom
élément (partie),elementu,,nom
élément (rudiment),rüdimentu,,nom
élémentaire,elementari,,adjectif
éléphant,elefante,,nom
élevage,alevamentu,,nom
élévation,elevaçiun,,nom
élève,alievu,,nom
élevé (haut),autu,,adjectif
élever (éduquer),elevà,,verbe
éleveur,alevatù,,nom
élider,elide - s'élider,,verbe
éligibilité,elegibilità,,nom
éligible,elegfüile,,adjectif
élimination,eliminaçiun,,nom
éliminatoire,sf elirninatori,,adjectif
éliminer,eliminà,,verbe
élingue,braga,,nom
élinguer,ümbragà,,verbe
élire,elege,,verbe
élision,elisiun,,nom
élite,sciura,,nom
élixir,elisir,,nom
elle,ela - V. il,,pronom
ellébore,eleburu,,nom
ellipse,elissi,,nom
élocution,elucüçiun,,nom
éloge,elogi,,nom
élogieux,elugiusu,,adjectif
éloignement,luntança,,nom
éloigner,aluntanà,,verbe
éloquence,eluqença,,nom
éloquent,eluqente,,adjectif
élu,eletu,,adjectif
élucider,ciairi,,verbe
élucubration,elücübraçiun,,nom
éluder,elüde,,verbe
em-,"em- (Voir ""introduction"")",,pronom
émail,smaltu,,nom
émanation,emanaçiun,,nom
émancipation,emançipaçiun,,nom
émanciper,emançipà - s'émanciper,,verbe
émaner,cmanà,,verbe
emballage,ümbalage,,nom
emballer,ümbalà - s'emballer,,verbe
embarcadère,ümbarcadari,,nom
embarcation,ümbarcaçiun,,nom
embarquement,ümbarcamentu,,nom
embarquer,ümbarcà - s'embarquer,,verbe
embarras (gêne,sm,,autre
embarrassant,ümbarrassante,,adjectif
embarrasser,ümbarrassà,,verbe
embaucher,üngagià,,verbe
embaumer,ümbarsamà,,verbe
embellir,ümbeli - s'embellir,,verbe
embellissement,ümbelimentu,,nom
embêtement,ümbestiamentu,,nom
embêter,ümbestià,,verbe
emblème,emblema,,nom
emboîter,ümbuatà,,verbe
emboucher,ümbucà - un mal embouché,,verbe
embouchure (fleuve),ümbucaüra - sm,,nom
embourber,ünfangà - s'embourber,,verbe
embouteillage,ümbutiyage,,nom
embouteiller,ümbutiyà,,verbe
emboutir,ümbuti,,verbe
embranchement,ümbrancamentu,,nom
embrasement,incendiu,,nom
embraser,incendià,,verbe
embrasser,ümbrassà,,verbe
s'embrasser,s'ümbrassà,,verbe
embrasure,brunzüra,,nom
embrayage,ümbrayage,,nom
embrayer,ümbrayà,,verbe
embrigader,ümbrigadà,,verbe
embrocher,ünfilà,,verbe
embrouiller,ümbruyà,,verbe
s'embrouiller,s'ümbruyà,,verbe
embrun,puschi - pl,,nom
embryon,embriun,,nom
embusquer,ümbüscà,,verbe
s'embusquer,s'ümbüscà,,verbe
éméché,lüstru,,adjectif
émeraude,smeraldu - sm,,nom
émergence,emergença,,nom
émerger,emerge,,verbe
émerillon (rapace),farchetu,,nom
émerillon (attache),meriyun,,nom
émérite,emeritu,,adjectif
émerveiller,maraviyà,,verbe
s'émerveiller,se maraviyà,,verbe
émetteur,emetù,,nom
émettre,emete,,verbe
émeute,sediçiun,,nom
émietter,bregayà,,verbe
s'émietter,se bregayà,,verbe
émigrant,emigrante,,nom
émigration,emigraçiun,,nom
émigrer,emigrà,,verbe
éminemment,eminentemente,,adjectif
éminence,eminença,,nom
éminent,eminente,,adjectif
émissaire (chargé de mission),emissari,,nom
