fr,mc,phonetic,cat
kaolin,terra da purçelana,,nom
kapok,kapoc,,nom
karst,carst,,nom
karstique,carsticu,,adjectif
képi,kepi,,nom
kermès,euse spinusu,,nom
kermesse,chermessa,,nom
kidnapper,rapi,,verbe
kilogramme,chilo,,nom
kilogramme,kilo,,nom
kilométrage,chilumetrage,,nom
kilomètre,chilometru,,nom
kinésithérapie,chinesiterapia,,nom
kiosque,chioscu,,nom
kyrielle,chiriela,,nom
kyrielle,papardela,,nom
kyste,chistu,,nom
